07591;58;Longitude;Latitude
07621;63;43.188;0.0
61996;97;-37.795167;77.569167
71805;64;46.766333;-56.179167
07335;83;46.593833;0.314333
07015;65;50.57;3.0975
78897;94;16.264;-61.516333
07240;67;47.4445;0.727333
07117;77;48.825833;-3.473167
07471;53;45.0745;3.764
07299;79;47.614333;7.51
07661;57;43.079333;5.940833
07139;86;48.4455;0.110167
07558;88;44.1185;3.0195
61980;73;-20.8925;55.528667
07481;78;45.7265;5.077833
07661;70;43.079333;5.940833
61996;86;-37.795167;77.569167
81408;99;3.890667;-51.804667
07607;31;43.909833;-0.500167
07761;60;41.918;8.792667
07015;68;50.57;3.0975
07607;54;43.909833;-0.500167
07661;54;43.079333;5.940833
07790;54;42.540667;9.485167
61976;74;-15.887667;54.520667
07168;82;48.324667;4.02
07630;69;43.621;1.378833
07690;25;43.648833;7.209
78897;91;16.264;-61.516333
78925;75;14.595333;-60.995667
07621;70;43.188;0.0
61970;88;-17.054667;42.712
61980;72;-20.8925;55.528667
07117;98;48.825833;-3.473167
07190;69;48.5495;7.640333
07314;96;46.046833;-1.4115
61976;61;-15.887667;54.520667
07015;93;50.57;3.0975
07460;48;45.786833;3.149333
07510;55;44.830667;-0.691333
07690;64;43.648833;7.209
61968;74;-11.582667;47.289667
78925;68;14.595333;-60.995667
07130;88;48.068833;-1.734
07335;91;46.593833;0.314333
07591;21;44.565667;6.502333
61972;73;-22.344167;40.340667
89642;38;-66.663167;140.001
07130;93;48.068833;-1.734
07790;73;42.540667;9.485167
07149;93;48.716833;2.384333
07591;63;44.565667;6.502333
61976;83;-15.887667;54.520667
07577;82;44.581167;4.733
78897;77;16.264;-61.516333
07117;98;48.825833;-3.473167
67005;75;-12.8055;45.282833
07139;74;48.4455;0.110167
61968;80;-11.582667;47.289667
07181;97;48.581;5.959833
07558;67;44.1185;3.0195
07650;25;43.437667;5.216
78897;69;16.264;-61.516333
07661;70;43.079333;5.940833
07190;56;48.5495;7.640333
81405;66;4.822333;-52.365333
61976;71;-15.887667;54.520667
81405;73;4.822333;-52.365333
07460;71;45.786833;3.149333
61968;80;-11.582667;47.289667
61996;98;-37.795167;77.569167
61998;86;-49.352333;70.243333
78897;87;16.264;-61.516333
07005;83;50.136;1.834
07020;73;49.725167;-1.939833
07335;82;46.593833;0.314333
07460;72;45.786833;3.149333
78925;82;14.595333;-60.995667
61997;90;-46.4325;51.856667
61996;89;-37.795167;77.569167
07481;56;45.7265;5.077833
78925;73;14.595333;-60.995667
07627;70;43.005333;1.106833
61980;73;-20.8925;55.528667
61998;64;-49.352333;70.243333
07255;51;47.059167;2.359833
07790;72;42.540667;9.485167
07037;89;49.383;1.181667
07299;89;47.614333;7.51
61976;78;-15.887667;54.520667
71805;99;46.766333;-56.179167
81405;85;4.822333;-52.365333
07280;80;47.267833;5.088333
07535;94;44.745;1.396667
67005;70;-12.8055;45.282833
07005;94;50.136;1.834
07621;69;43.188;0.0
07627;73;43.005333;1.106833
61998;64;-49.352333;70.243333
61976;56;-15.887667;54.520667
78922;58;14.7745;-60.875333
81405;86;4.822333;-52.365333
07015;65;50.57;3.0975
07481;75;45.7265;5.077833
61996;76;-37.795167;77.569167
07661;54;43.079333;5.940833
07027;82;49.18;-0.456167
07558;60;44.1185;3.0195
07650;50;43.437667;5.216
07240;87;47.4445;0.727333
