07591;58;Longitude;Latitude
07190;51;48.5495;7.640333
07314;88;46.046833;-1.4115
71805;70;46.766333;-56.179167
07139;87;48.4455;0.110167
07314;86;46.046833;-1.4115
67005;100;-12.8055;45.282833
07621;87;43.188;0.0
61972;85;-22.344167;40.340667
07168;62;48.324667;4.02
07690;75;43.648833;7.209
07314;67;46.046833;-1.4115
67005;92;-12.8055;45.282833
07181;58;48.581;5.959833
07535;49;44.745;1.396667
07335;69;46.593833;0.314333
07481;80;45.7265;5.077833
07627;84;43.005333;1.106833
78922;75;14.7745;-60.875333
07020;71;49.725167;-1.939833
07558;72;44.1185;3.0195
07149;62;48.716833;2.384333
07481;94;45.7265;5.077833
07168;70;48.324667;4.02
07630;65;43.621;1.378833
78897;91;16.264;-61.516333
07630;59;43.621;1.378833
61968;85;-11.582667;47.289667
07181;60;48.581;5.959833
61998;63;-49.352333;70.243333
89642;51;-66.663167;140.001
07110;83;48.444167;-4.412
07790;87;42.540667;9.485167
07621;96;43.188;0.0
89642;61;-66.663167;140.001
07190;83;48.5495;7.640333
07790;91;42.540667;9.485167
61980;77;-20.8925;55.528667
61996;98;-37.795167;77.569167
89642;59;-66.663167;140.001
07027;88;49.18;-0.456167
07117;71;48.825833;-3.473167
07335;82;46.593833;0.314333
07020;62;49.725167;-1.939833
07434;87;45.861167;1.175
07471;98;45.0745;3.764
07630;92;43.621;1.378833
61997;85;-46.4325;51.856667
07015;44;50.57;3.0975
07149;64;48.716833;2.384333
89642;86;-66.663167;140.001
07255;48;47.059167;2.359833
07005;81;50.136;1.834
07222;53;47.15;-1.608833
78897;65;16.264;-61.516333
81408;75;3.890667;-51.804667
07037;77;49.383;1.181667
81415;92;3.640167;-54.028333
07627;90;43.005333;1.106833
07005;85;50.136;1.834
07661;96;43.079333;5.940833
07255;70;47.059167;2.359833
07535;90;44.745;1.396667
61970;94;-17.054667;42.712
61972;64;-22.344167;40.340667
07020;67;49.725167;-1.939833
